北京联通组播本地台,#genre#
浙江卫视-HD,http://mfworld.top:4321/udp/239.254.200.53:8036
江苏卫视-HD,http://mfworld.top:4321/udp/239.254.200.51:8028
安徽卫视-HD,http://mfworld.top:4321/udp/239.254.200.163:6000
东南卫视-HD,http://mfworld.top:4321/udp/239.254.201.13:6291
北京卫视-HD,http://mfworld.top:4321/udp/239.254.200.47:8024
天津卫视-HD,http://mfworld.top:4321/udp/239.254.200.54:1234
辽宁卫视-HD,http://mfworld.top:4321/udp/239.254.200.57:8056
山东卫视-HD,http://mfworld.top:4321/udp/239.254.200.55:8052
河南卫视-HD,http://mfworld.top:4321/udp/239.254.201.16:7174
黑龙江卫视-HD,http://mfworld.top:4321/udp/239.254.200.49:8016
四川卫视-HD,http://mfworld.top:4321/udp/239.254.200.202:6325
江西卫视-HD,http://mfworld.top:4321/udp/239.254.201.12:6290
贵州卫视-HD,http://mfworld.top:4321/udp/239.254.201.20:6315
深圳卫视-HD,http://mfworld.top:4321/udp/239.254.200.50:8020
湖北卫视-HD,http://mfworld.top:4321/udp/239.254.200.164:6000
东方卫视-HD,http://mfworld.top:4321/udp/239.254.200.52:8032
重庆卫视-HD,http://mfworld.top:4321/udp/239.254.200.203:6323
广东卫视-HD,http://mfworld.top:4321/udp/239.254.200.56:8048
广西卫视-HD,http://mfworld.top:4321/udp/239.254.200.80:8300
吉林卫视-HD,http://mfworld.top:4321/udp/239.254.201.15:6339
海南卫视-HD,http://mfworld.top:4321/udp/239.254.201.125:6288
甘肃卫视-HD,http://mfworld.top:4321/udp/239.254.200.17:8180
教育卫视-HD,http://mfworld.top:4321/udp/239.254.200.225:6259
教育四套-HD,http://mfworld.top:4321/udp/239.254.200.227:6261
早期教育-HD,http://mfworld.top:4321/udp/239.254.201.230:7253
金鹰卡通-HD,http://mfworld.top:4321/udp/239.254.200.92:9252
上海纪实-HD,http://mfworld.top:4321/udp/239.254.200.58:8060
北京纪实-HD,http://mfworld.top:4321/udp/239.254.200.188:6311
金鹰纪实-HD,http://mfworld.top:4321/udp/239.254.200.189:6293
乐游纪实-HD,http://mfworld.top:4321/udp/239.254.201.200:6356
求索纪录-HD,http://mfworld.top:4321/udp/239.254.201.176:7221
天元围棋-HD,http://mfworld.top:4321/udp/239.254.201.156:6270
东方财经-HD,http://mfworld.top:4321/udp/239.254.201.181:7214
金色学堂-HD,http://mfworld.top:4321/udp/239.254.201.182:7227
法治天地-HD,http://mfworld.top:4321/udp/239.254.201.183:7226
武术世界-HD,http://mfworld.top:4321/udp/239.254.201.224:7229
文物宝库-HD,http://mfworld.top:4321/udp/239.254.201.227:7230
梨园频道-HD,http://mfworld.top:4321/udp/239.254.201.231:7228
中华美食-HD,http://mfworld.top:4321/udp/239.254.201.189:7171
动漫秀场-HD,http://mfworld.top:4321/udp/239.254.201.165:6358
生活时尚-HD,http://mfworld.top:4321/udp/239.254.201.166:6359
游戏风云-HD,http://mfworld.top:4321/udp/239.254.201.163:6354
茶频道台-HD,http://mfworld.top:4321/udp/239.254.200.228:6258
快乐垂钓-HD,http://mfworld.top:4321/udp/239.254.200.229:6257
三佳购物-HD,http://mfworld.top:4321/udp/239.254.200.143:6000
羽毛球专区-HD,http://mfworld.top:4321/udp/239.254.201.214:7264
点掌财经专区-HD,http://mfworld.top:4321/udp/239.254.201.233:7272
慢直播1,http://mfworld.top:4321/udp/239.254.200.108:7275
慢直播2,http://mfworld.top:4321/udp/239.254.200.109:7276
慢直播3,http://mfworld.top:4321/udp/239.254.200.112:7277
慢直播4,http://mfworld.top:4321/udp/239.254.200.115:7278
慢直播5,http://mfworld.top:4321/udp/239.254.200.116:7279
慢直播6,http://mfworld.top:4321/udp/239.254.200.118:7280
慢直播7,http://mfworld.top:4321/udp/239.254.200.121:7281
慢直播8,http://mfworld.top:4321/udp/239.254.200.123:7282
慢直播9,http://mfworld.top:4321/udp/239.254.200.125:7283
慢直播10,http://mfworld.top:4321/udp/239.254.200.126:7284
慢直播11,http://mfworld.top:4321/udp/239.254.200.127:7285
慢直播12,http://mfworld.top:4321/udp/239.254.200.128:7286
慢直播13,http://mfworld.top:4321/udp/239.254.200.129:7287
慢直播14,http://mfworld.top:4321/udp/239.254.200.130:7288
慢直播15,http://mfworld.top:4321/udp/239.254.200.131:7289
慢直播16,http://mfworld.top:4321/udp/239.254.200.132:7290
慢直播17,http://mfworld.top:4321/udp/239.254.200.133:7291
慢直播18,http://mfworld.top:4321/udp/239.254.200.134:7292
慢直播19,http://mfworld.top:4321/udp/239.254.200.135:7293
慢直播20,http://mfworld.top:4321/udp/239.254.200.136:7294
慢直播21,http://mfworld.top:4321/udp/239.254.200.137:7295
慢直播22,http://mfworld.top:4321/udp/239.254.200.138:7296
慢直播23,http://mfworld.top:4321/udp/239.254.200.139:7297
慢直播24,http://mfworld.top:4321/udp/239.254.200.140:7298
慢直播九屏1,http://mfworld.top:4321/udp/239.254.200.141:7299
慢直播九屏2,http://mfworld.top:4321/udp/239.254.200.148:7300
慢直播九屏3,http://mfworld.top:4321/udp/239.254.200.151:7301
慢直播九屏4,http://mfworld.top:4321/udp/239.254.200.248:6000
河北联通组播本地台,#genre#
CCTV1-HD,http://home.hbpa.cc:9999/udp/239.253.92.83:8012
CCTV2-HD,http://home.hbpa.cc:9999/udp/239.253.92.190:6065
CCTV3-HD,http://home.hbpa.cc:9999/udp/239.253.92.191:6057
CCTV4-HD,http://home.hbpa.cc:9999/udp/239.253.92.251:6141
CCTV5-HD,http://home.hbpa.cc:9999/udp/239.253.92.181:6046
CCTV5+-HD,http://home.hbpa.cc:9999/udp/239.253.92.82:8013
CCTV6-HD,http://home.hbpa.cc:9999/udp/239.253.92.193:6058
